name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,294.3,100.0,0.5,0.0,3.1,11.0,99.0,0.0,77.8,3.7,59.4
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,45.56666666666666,300.0,0.6333333333333333,0.39999999999999997,1.3,20.333333333333332,39.333333333333336,2.6666666666666665,2.9,0.0,1.2666666666666666
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,287.0,300.0,0.4666666666666666,0.10000000000000002,6.3999999999999995,79.33333333333333,95.33333333333333,0.0,65.39999999999999,3.5,34.06666666666666
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,204.2,200.0,3.95,0.35,7.15,9.5,126.0,0.0,44.65,15.149999999999999,2.3
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,245.9,100.0,0.5,0.0,2.4,22.0,70.0,0.0,65.5,7.9,50.9
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1,390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,613.2,100.0,53.8,8.7,20.1,277.0,457.0,0.0,21.4,6.9,4.1
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,613.2,100.0,53.8,8.7,20.1,277.0,457.0,0.0,21.4,6.9,4.1
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,51.3,100.0,1.9,1.2,3.5,52.0,100.0,8.0,4.9,0.0,0.0
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,170.15,200.0,1.0,0.1,2.9,11.5,72.0,0.0,42.4,5.15,27.7
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,310.0,1.0,10.0,0.0,10.0,0.0,100.0,0.0,70.0,30.0,0.0
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,893.6,100.0,98.2,61.7,0.3,2.0,2.0,253.0,0.0,0.0,0.0
Chhena kheeri,"Chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,51.3,100.0,1.9,1.2,3.5,52.0,100.0,8.0,4.9,0.0,0.0
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,393.9,100.0,33.0,18.9,22.7,661.0,459.0,100.0,3.2,0.0,0.5
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,245.45,200.0,14.1,13.05,2.1,145.5,58.0,0.0,30.1,6.199999999999999,19.55
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,893.6,100.0,98.2,61.7,0.3,2.0,2.0,253.0,0.0,0.0,0.0
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,115.19999999999999,200.0,0.95,0.6,1.75,26.0,50.0,4.0,25.599999999999998,0.0,22.65
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,336.1,100.0,14.9,0.5,16.1,88.0,483.0,0.0,53.0,39.4,0.0
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,639.15,200.0,52.45,31.200000000000003,11.450000000000001,32.5,156.5,126.5,28.35,5.35,5.5
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,371.9,100.0,0.0,0.0,0.0,27.0,4.0,0.0,98.7,0.0,97.6
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,362.6,100.0,1.0,0.2,10.2,2.0,106.0,0.0,77.0,2.7,0.3
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,242.60000000000002,200.0,0.65,0.15000000000000002,6.550000000000001,1.5,75.5,0.0,53.05,1.55,0.2
